Shares,URL,Text,Insider,Position,Transaction,Start Date,Ownership,Value,tic
17904,,,RHODES KEVIN H,Officer,,2026-02-06,D,,MMM
5639,,Conversion of Exercise of derivative security at price 172.65 per share.,GORALSKI CHRISTIAN T JR,Officer,,2026-02-06,D,973573.0,MMM
313,,Stock Award(Grant) at price 165.08 per share.,MITCHILL NEIL G JR,Director,,2026-02-06,I,51822.0,MMM
4818,,,BANOVETZ JOHN PATRICK,Officer,,2026-02-06,D,,MMM
8895,,Conversion of Exercise of derivative security at price 172.65 per share.,MURPHY MARK W,Officer,,2026-02-06,D,1535722.0,MMM
11964,,Stock Award(Grant) at price 0.00 per share.,DICKSON ZOE L,Officer,,2026-02-02,D,0.0,MMM
11964,,Stock Award(Grant) at price 0.00 per share.,DICKSON ZOE L,Officer,,2026-02-02,D,0.0,MMM
8650,,Stock Award(Grant) at price 0.00 per share.,CHAVEZ RODRIGUEZ BEATRIZ KARINA,Officer,,2026-02-02,D,0.0,MMM
23251,,Stock Award(Grant) at price 0.00 per share.,RHODES KEVIN H,Officer,,2026-02-02,D,0.0,MMM
23251,,Stock Award(Grant) at price 0.00 per share.,RHODES KEVIN H,Officer,,2026-02-02,D,0.0,MMM
12513,,Stock Award(Grant) at price 0.00 per share.,BANOVETZ JOHN PATRICK,Officer,,2026-02-02,D,0.0,MMM
12513,,Stock Award(Grant) at price 0.00 per share.,BANOVETZ JOHN PATRICK,Officer,,2026-02-02,D,0.0,MMM
11173,,Stock Award(Grant) at price 0.00 per share.,MURPHY MARK W,Officer,,2026-02-02,D,0.0,MMM
11173,,Stock Award(Grant) at price 0.00 per share.,MURPHY MARK W,Chief Technology Officer,,2026-02-02,D,0.0,MMM
287,,Stock Award(Grant) at price 160.63 per share.,FITTERLING JAMES R,Director,,2026-01-23,I,46250.0,MMM
2846,,Conversion of Exercise of derivative security at price 170.48 per share.,CLARKE VICTORIA,Officer,,2025-12-01,D,485186.0,MMM
13826,,Sale at price 169.72 - 169.86 per share.,DICKSON ZOE L,Officer,,2025-11-13,D,2347371.0,MMM
13826,,Conversion of Exercise of derivative security at price 154.04 - 154.69 per share.,DICKSON ZOE L,Officer,,2025-11-13,D,2133056.0,MMM
13629,,Sale at price 169.70 - 169.94 per share.,DICKSON ZOE L,Officer,,2025-11-13,D,2314538.0,MMM
13629,,Conversion of Exercise of derivative security at price 138.39 per share.,DICKSON ZOE L,Officer,,2025-11-13,D,1886117.0,MMM
19061,,Sale at price 166.50 - 166.75 per share.,MURPHY MARK W,Chief Technology Officer,,2025-10-29,D,3174589.0,MMM
19061,,Conversion of Exercise of derivative security at price 142.94 per share.,MURPHY MARK W,Chief Technology Officer,,2025-10-29,D,2724579.0,MMM
269,,Stock Award(Grant) at price 171.60 per share.,FITTERLING JAMES R,Director,,2025-10-24,I,46250.0,MMM
203,,,RHODES KEVIN H,Officer,,2025-10-01,D,,MMM
10944,,,MAHESHWARI ANURAG,Chief Financial Officer,,2025-10-01,D,,MMM
142,,,BANOVETZ JOHN PATRICK,Officer,,2025-10-01,D,,MMM
6165,,Sale at price 150.18 per share.,GORALSKI CHRISTIAN T JR,President,,2025-08-07,D,925860.0,MMM
6650,,Conversion of Exercise of derivative security at price 130.14 per share.,GORALSKI CHRISTIAN T JR,President,,2025-08-07,D,865431.0,MMM
3477,,Sale at price 150.63 per share.,REINSETH THERESA E,Officer,,2025-08-05,D,523741.0,MMM
305,,Stock Award(Grant) at price 151.20 per share.,FITTERLING JAMES R,Director,,2025-07-23,I,46250.0,MMM
7951,,Conversion of Exercise of derivative security at price 153.81 per share.,BAUER WENDY A,Officer,,2025-07-01,D,1222943.0,MMM
7759,,Sale at price 148.37 - 148.41 per share.,BANOVETZ JOHN PATRICK,Officer,,2025-05-23,D,1151237.0,MMM
7759,,Conversion of Exercise of derivative security at price 130.14 per share.,BANOVETZ JOHN PATRICK,Officer,,2025-05-23,D,1009756.0,MMM
7976,,Sale at price 154.02 per share.,RHODES KEVIN H,Officer,,2025-05-20,D,1228464.0,MMM
7976,,Conversion of Exercise of derivative security at price 130.14 per share.,RHODES KEVIN H,Officer,,2025-05-20,D,1037997.0,MMM
7915,,Sale at price 148.93 - 149.12 per share.,DICKSON ZOE L,Officer,,2025-05-15,D,1179469.0,MMM
3992,,Conversion of Exercise of derivative security at price 130.14 per share.,DICKSON ZOE L,Officer,,2025-05-15,D,519519.0,MMM
1297,,Stock Award(Grant) at price 150.33 per share.,PAGE GREGORY R,Director,,2025-05-13,I,195000.0,MMM
1297,,Stock Award(Grant) at price 150.33 per share.,BROWN THOMAS K,Director,,2025-05-13,I,195000.0,MMM
1297,,Stock Award(Grant) at price 150.33 per share.,PIZARRO PEDRO J,Director,,2025-05-13,I,195000.0,MMM
1297,,Stock Award(Grant) at price 150.33 per share.,KEREERE SUZAN,Director,,2025-05-13,D,195000.0,MMM
1297,,Stock Award(Grant) at price 150.33 per share.,CHOI AUDREY,Director,,2025-05-13,I,195000.0,MMM
1297,,Stock Award(Grant) at price 150.33 per share.,CHOW ANNE H,Director,,2025-05-13,I,195000.0,MMM
1297,,Stock Award(Grant) at price 150.33 per share.,SWEET THOMAS W. CPA,Director,,2025-05-13,I,195000.0,MMM
1297,,Stock Award(Grant) at price 150.33 per share.,FITTERLING JAMES R,Director,,2025-05-13,I,195000.0,MMM
1297,,Stock Award(Grant) at price 150.33 per share.,BOZEMAN DAVID P,Director,,2025-05-13,I,195000.0,MMM
1297,,Stock Award(Grant) at price 150.33 per share.,DILLON DAVID B,Director,,2025-05-13,I,195000.0,MMM
8577,,Conversion of Exercise of derivative security at price 142.08 per share.,BROWN WILLIAM M.,Chief Executive Officer,,2025-05-02,D,1218620.0,MMM
1441,,Conversion of Exercise of derivative security at price 142.08 per share.,REINSETH THERESA E,Officer,,2025-05-02,D,204737.0,MMM
333,,Stock Award(Grant) at price 138.88 per share.,FITTERLING JAMES R,Director,,2025-04-25,I,46250.0,MMM
3201,,Conversion of Exercise of derivative security at price 149.87 per share.,DICKSON ZOE L,Officer,,2025-02-07,D,479734.0,MMM
3569,,,CHAVEZ RODRIGUEZ BEATRIZ KARINA,Officer,,2025-02-07,D,,MMM
10565,,,GIBBONS PETER D.,Officer,,2025-02-07,D,,MMM
2974,,Conversion of Exercise of derivative security at price 149.87 per share.,MURPHY MARK W,Chief Technology Officer,,2025-02-07,D,445713.0,MMM
339,,Stock Award(Grant) at price 152.45 per share.,BOZEMAN DAVID P,Director,,2025-02-06,I,51822.0,MMM
857,,Stock Award(Grant) at price 0.00 per share.,REINSETH THERESA E,Officer,,2025-02-03,D,0.0,MMM
857,,Stock Award(Grant) at price 0.00 per share.,REINSETH THERESA E,Officer,,2025-02-03,D,0.0,MMM
3498,,Stock Award(Grant) at price 0.00 per share.,DICKSON ZOE L,Officer,,2025-02-03,D,0.0,MMM
3498,,Stock Award(Grant) at price 0.00 per share.,DICKSON ZOE L,Officer,,2025-02-03,D,0.0,MMM
1949,,Stock Award(Grant) at price 0.00 per share.,CHAVEZ RODRIGUEZ BEATRIZ KARINA,Officer,,2025-02-03,D,0.0,MMM
1949,,Stock Award(Grant) at price 0.00 per share.,CHAVEZ RODRIGUEZ BEATRIZ KARINA,Officer,,2025-02-03,D,0.0,MMM
5162,,Stock Award(Grant) at price 0.00 per share.,RHODES KEVIN H,Officer,,2025-02-03,D,0.0,MMM
5162,,Stock Award(Grant) at price 0.00 per share.,RHODES KEVIN H,Officer,,2025-02-03,D,0.0,MMM
1259,,Stock Award(Grant) at price 0.00 per share.,GORALSKI CHRISTIAN T JR,Officer,,2025-02-03,D,0.0,MMM
4672,,Stock Award(Grant) at price 0.00 per share.,BANOVETZ JOHN PATRICK,Officer,,2025-02-03,D,0.0,MMM
4672,,Stock Award(Grant) at price 0.00 per share.,BANOVETZ JOHN PATRICK,Officer,,2025-02-03,D,0.0,MMM
5773,,Stock Award(Grant) at price 0.00 per share.,GIBBONS PETER D.,Officer,,2025-02-03,D,0.0,MMM
3251,,Stock Award(Grant) at price 0.00 per share.,MURPHY MARK W,Officer,,2025-02-03,D,0.0,MMM
21026,,Stock Award(Grant) at price 0.00 per share.,ROMAN MICHAEL F,Chairman of the Board,,2025-02-03,D,0.0,MMM
21026,,Stock Award(Grant) at price 0.00 per share.,ROMAN MICHAEL F,Chairman of the Board,,2025-02-03,D,0.0,MMM
1750,,Sale at price 154.21 - 154.22 per share.,CLARKE VICTORIA,Officer,,2025-01-31,D,269878.0,MMM
49598,,Sale at price 152.26 - 152.43 per share.,ROMAN MICHAEL F,Chairman of the Board,,2025-01-29,D,7553577.0,MMM
54775,,Conversion of Exercise of derivative security at price 130.14 per share.,ROMAN MICHAEL F,Chairman of the Board,,2025-01-29,D,7128418.0,MMM
3634,,Sale at price 149.41 per share.,DICKSON ZOE L,Officer,,2025-01-27,D,542957.0,MMM
3634,,Conversion of Exercise of derivative security at price 146.05 per share.,DICKSON ZOE L,Officer,,2025-01-27,D,530746.0,MMM
1645,,Sale at price 150.23 - 150.27 per share.,CHAVEZ RODRIGUEZ BEATRIZ KARINA,President,,2025-01-27,D,247163.0,MMM
1645,,Conversion of Exercise of derivative security at price 146.05 per share.,CHAVEZ RODRIGUEZ BEATRIZ KARINA,President,,2025-01-27,D,240252.0,MMM
6743,,Sale at price 149.85 per share.,RHODES KEVIN H,Officer,,2025-01-27,D,1010416.0,MMM
6850,,Conversion of Exercise of derivative security at price 146.05 per share.,RHODES KEVIN H,Officer,,2025-01-27,D,1000442.0,MMM
4798,,Sale at price 151.36 per share.,BANOVETZ JOHN PATRICK,Officer,,2025-01-27,D,726249.0,MMM
4798,,Conversion of Exercise of derivative security at price 146.05 per share.,BANOVETZ JOHN PATRICK,Officer,,2025-01-27,D,700748.0,MMM
2309,,Sale at price 149.94 - 150.00 per share.,REINSETH THERESA E,Officer,,2025-01-24,D,346241.0,MMM
2309,,Conversion of Exercise of derivative security at price 130.14 - 146.05 per share.,REINSETH THERESA E,Officer,,2025-01-24,D,307160.0,MMM
6318,,Sale at price 149.43 per share.,GORALSKI CHRISTIAN T JR,Officer,,2025-01-24,D,944070.0,MMM
6393,,Conversion of Exercise of derivative security at price 149.43 per share.,GORALSKI CHRISTIAN T JR,Officer,,2025-01-24,D,955306.0,MMM
45276,,Sale at price 150.00 - 150.07 per share.,ROMAN MICHAEL F,Chairman of the Board,,2025-01-24,D,6791885.0,MMM
45276,,Conversion of Exercise of derivative security at price 146.05 per share.,ROMAN MICHAEL F,Chairman of the Board,,2025-01-24,D,6612560.0,MMM
2845,,,CLARKE VICTORIA,Officer,,2024-11-29,D,,MMM
1033,,Sale at price 127.71 per share.,REINSETH THERESA E,Officer,,2024-11-20,D,131925.0,MMM
1899,,Conversion of Exercise of derivative security at price 127.22 per share.,REINSETH THERESA E,Officer,,2024-11-01,D,241591.0,MMM
2111,,Conversion of Exercise of derivative security at price 127.22 per share.,MURPHY MARK W,Chief Technology Officer,,2024-11-01,D,268561.0,MMM
17,,Purchase at price 97.26 - 127.99 per share.,GORALSKI CHRISTIAN T JR,Officer,,2024-10-23,D,1822.0,MMM
579,,,RHODES KEVIN H,Officer,,2024-10-16,D,,MMM
430,,,BANOVETZ JOHN PATRICK,Officer,,2024-10-16,D,,MMM
5675,,Sale at price 123.45 - 123.48 per share.,ROMAN MICHAEL F,Chairman of the Board,,2024-08-07,D,700608.0,MMM
2100,,Sale at price 124.12 per share.,REINSETH THERESA E,Chief Financial Officer,,2024-08-06,D,260652.0,MMM
1713,,Conversion of Exercise of derivative security at price 100.61 per share.,CHAVEZ RODRIGUEZ BEATRIZ KARINA,Officer,,2024-07-01,D,172345.0,MMM
5749,,Conversion of Exercise of derivative security at price 102.19 per share.,REINSETH THERESA E,Officer,,2024-06-28,D,587490.0,MMM
30131,,,PATOLAWALA MONISH D,President,,2024-06-28,D,,MMM
1957,,Stock Award(Grant) at price 99.63 per share.,PAGE GREGORY R,Director,,2024-05-14,I,195000.0,MMM
1957,,Stock Award(Grant) at price 99.63 per share.,BROWN THOMAS K,Director,,2024-05-14,I,195000.0,MMM
1957,,Stock Award(Grant) at price 99.63 per share.,PIZARRO PEDRO J,Director,,2024-05-14,I,195000.0,MMM
1957,,Stock Award(Grant) at price 99.63 per share.,KEREERE SUZAN,Director,,2024-05-14,D,195000.0,MMM
1957,,Stock Award(Grant) at price 99.63 per share.,CHOI AUDREY,Director,,2024-05-14,I,195000.0,MMM
1957,,Stock Award(Grant) at price 99.63 per share.,CHOW ANNE H,Director,,2024-05-14,D,195000.0,MMM
1957,,Stock Award(Grant) at price 99.63 per share.,SWEET THOMAS W. CPA,Director,,2024-05-14,I,195000.0,MMM
1957,,Stock Award(Grant) at price 99.63 per share.,FITTERLING JAMES R,Director,,2024-05-14,D,195000.0,MMM
1957,,Stock Award(Grant) at price 99.63 per share.,HOOD AMY E,Director,,2024-05-14,I,195000.0,MMM
1957,,Stock Award(Grant) at price 99.63 per share.,DILLON DAVID B,Director,,2024-05-14,I,195000.0,MMM
451,,Stock Award(Grant) at price 96.81 per share.,ESKEW MICHAEL L,Director,,2024-05-03,I,43750.0,MMM
983,,,DICKSON ZOE L,Officer,,2024-05-01,D,,MMM
983,,Conversion of Exercise of derivative security at price 98.44 per share.,DICKSON ZOE L,Officer,,2024-05-01,D,96767.0,MMM
10000,,Sale at price 121.46 per share.,GUINDO CHIRFI,Officer,,2026-02-12,D,1214562.0,MRK
10235,,Sale at price 117.52 per share.,LI DEAN Y,Officer,,2026-02-10,D,1202844.0,MRK
10000,,Sale at price 118.41 per share.,GUINDO CHIRFI,Officer,,2026-02-09,D,1184101.0,MRK
121573,,Sale at price 119.15 per share.,ZACHARY JENNIFER L,General Counsel,,2026-02-09,D,14485690.0,MRK
121573,,Conversion of Exercise of derivative security at price 119.15 per share.,ZACHARY JENNIFER L,General Counsel,,2026-02-09,D,14485690.0,MRK
5000,,Sale at price 121.90 per share.,WILLIAMS DAVID MICHAEL,Chief Technology Officer,,2026-02-06,D,609525.0,MRK
5000,,Conversion of Exercise of derivative security at price 77.62 per share.,WILLIAMS DAVID MICHAEL,Chief Technology Officer,,2026-02-06,D,388100.0,MRK
15000,,Sale at price 121.87 per share.,OOSTHUIZEN JOHANNES JACOBUS,Officer,,2026-02-06,D,1827992.0,MRK
37685,,Sale at price 120.92 per share.,DELUCA RICHARD ROBERT JR.,Officer,,2026-02-06,D,4557025.0,MRK
20000,,Sale at price 121.88 per share.,GUINDO CHIRFI,Officer,,2026-02-05,D,2437676.0,MRK
15087,,Sale at price 118.77 per share.,LI DEAN Y,Officer,,2026-02-04,D,1791824.0,MRK
15087,,Conversion of Exercise of derivative security at price 56.04 per share.,LI DEAN Y,Officer,,2026-02-04,D,845475.0,MRK
41997,,Sale at price 119.61 per share.,LITCHFIELD CAROLINE,Chief Financial Officer,,2026-02-04,D,5023312.0,MRK
41997,,Conversion of Exercise of derivative security at price 53.06 per share.,LITCHFIELD CAROLINE,Chief Financial Officer,,2026-02-04,D,2228361.0,MRK
6400,,Sale at price 119.68 per share.,SMART DALTON E. III,Officer,,2026-02-04,D,765920.0,MRK
4000,,Conversion of Exercise of derivative security at price 62.07 per share.,SMART DALTON E. III,Officer,,2026-02-04,D,248280.0,MRK
47434,,Sale at price 117.38 - 118.35 per share.,DAVIS ROBERT M,Chief Executive Officer,,2026-02-04,D,5599327.0,MRK
13880,,Stock Award(Grant) at price 107.40 per share.,CHATTOPADHYAY SANAT,Officer,,2026-01-26,D,1490712.0,MRK
9865,,Stock Award(Grant) at price 107.40 per share.,GUINDO CHIRFI,Officer,,2026-01-26,D,1059501.0,MRK
11583,,Stock Award(Grant) at price 107.40 per share.,ZACHARY JENNIFER L,General Counsel,,2026-01-26,D,1244014.0,MRK
6112,,Stock Award(Grant) at price 107.40 per share.,WILLIAMS DAVID MICHAEL,Officer,,2026-01-26,D,656429.0,MRK
20469,,Stock Award(Grant) at price 107.40 per share.,LI DEAN Y,Officer,,2026-01-26,D,2198371.0,MRK
15852,,Stock Award(Grant) at price 107.40 per share.,LITCHFIELD CAROLINE,Chief Financial Officer,,2026-01-26,D,1702505.0,MRK
5026,,Stock Award(Grant) at price 107.40 per share.,OOSTHUIZEN JOHANNES JACOBUS,Officer,,2026-01-26,D,539792.0,MRK
5703,,Stock Award(Grant) at price 107.40 per share.,ROMANELLI JOSEPH EDWARD,Officer,,2026-01-26,D,612502.0,MRK
1066,,Stock Award(Grant) at price 107.40 per share.,SMART DALTON E. III,Officer,,2026-01-26,D,114488.0,MRK
47434,,Stock Award(Grant) at price 107.40 per share.,DAVIS ROBERT M,Chief Executive Officer,,2026-01-26,D,5094412.0,MRK
12264,,Stock Award(Grant) at price 107.40 per share.,DELUCA RICHARD ROBERT JR.,Officer,,2026-01-26,D,1317154.0,MRK
7085,,Sale at price 87.00 per share.,DOWNING CRISTAL N.,Officer,,2025-11-10,D,616395.0,MRK
8614,,Sale at price 83.59 per share.,WILLIAMS DAVID MICHAEL,Chief Technology Officer,,2025-11-03,D,720040.0,MRK
36903,,Conversion of Exercise of derivative security at price 79.29 per share.,GUINDO CHIRFI,Officer,,2025-08-04,D,2926039.0,MRK
17119,,Conversion of Exercise of derivative security at price 79.29 per share.,WILLIAMS DAVID MICHAEL,Chief Technology Officer,,2025-08-04,D,1357366.0,MRK
4325,,Conversion of Exercise of derivative security at price 83.26 - 84.71 per share.,ROMANELLI JOSEPH EDWARD,Officer,,2025-05-02,D,363091.0,MRK
845,,,SMART DALTON E. III,Officer,,2025-05-02,D,,MRK
2050,,Conversion of Exercise of derivative security at price 83.18 per share.,SMART DALTON E. III,General Counsel,,2025-05-02,D,170519.0,MRK
11350,,,LARSON BETTY D,Officer,,2025-04-30,D,,MRK
4262,,Sale at price 82.76 per share.,SMART DALTON E. III,Officer,,2025-04-25,D,352723.0,MRK
5000,,Conversion of Exercise of derivative security at price 58.08 per share.,SMART DALTON E. III,Officer,,2025-04-25,D,290400.0,MRK
8500,,Sale at price 84.09 per share.,OOSTHUIZEN JOHANNES JACOBUS,Officer,,2025-02-19,D,714745.0,MRK
6000,,Sale at price 85.34 per share.,WILLIAMS DAVID MICHAEL,Chief Technology Officer,,2025-02-13,D,512057.0,MRK
13002,,,OOSTHUIZEN JOHANNES JACOBUS,Officer,,2025-02-07,D,,MRK
2361,,Sale at price 88.76 per share.,DOWNING CRISTAL N.,Officer,,2025-02-06,D,209551.0,MRK
2832,,Purchase at price 88.25 per share.,THULIN INGE G,Director,,2025-02-06,D,250000.0,MRK
15000,,Purchase at price 88.50 per share.,BAKER DOUGLAS M JR,Director,,2025-02-05,D,1327500.0,MRK
28136,,Stock Award(Grant) at price 97.94 per share.,CHATTOPADHYAY SANAT,Officer,,2025-01-27,D,2755640.0,MRK
28158,,Stock Award(Grant) at price 97.94 per share.,GUINDO CHIRFI,Officer,,2025-01-27,D,2757795.0,MRK
25423,,Stock Award(Grant) at price 97.94 per share.,ZACHARY JENNIFER L,General Counsel,,2025-01-27,D,2489929.0,MRK
10246,,Stock Award(Grant) at price 97.94 per share.,WILLIAMS DAVID MICHAEL,Chief Technology Officer,,2025-01-27,D,1003493.0,MRK
32621,,Stock Award(Grant) at price 97.94 per share.,LI DEAN Y,Officer,,2025-01-27,D,3194901.0,MRK
23432,,Stock Award(Grant) at price 97.94 per share.,LITCHFIELD CAROLINE,Chief Financial Officer,,2025-01-27,D,2294930.0,MRK
9446,,Stock Award(Grant) at price 97.94 per share.,DOWNING CRISTAL N.,Officer,,2025-01-27,D,925141.0,MRK
8664,,Stock Award(Grant) at price 97.94 per share.,OOSTHUIZEN JOHANNES JACOBUS,Officer,,2025-01-27,D,848552.0,MRK
2586,,Stock Award(Grant) at price 97.94 per share.,SMART DALTON E. III,Officer,,2025-01-27,D,253273.0,MRK
95275,,Stock Award(Grant) at price 97.94 per share.,DAVIS ROBERT M,Chief Executive Officer,,2025-01-27,D,9331234.0,MRK
25438,,Stock Award(Grant) at price 97.94 per share.,DELUCA RICHARD ROBERT JR.,Officer,,2025-01-27,D,2491398.0,MRK
36901,,Conversion of Exercise of derivative security at price 115.20 per share.,GUINDO CHIRFI,Officer,,2024-08-05,D,4250995.0,MRK
887,,Conversion of Exercise of derivative security at price 127.51 per share.,KLOBUCHAR MICHAEL A,Officer,,2024-05-03,D,113101.0,MRK
912,,,OOSTHUIZEN JOHANNES JACOBUS,Officer,,2024-05-03,D,,MRK
2658,,,SMART DALTON E. III,Officer,,2024-05-03,D,,MRK
27126,,,DELUCA RICHARD ROBERT JR.,Officer,,2024-05-03,D,,MRK
2262,,,ROMANELLI JOSEPH EDWARD,Officer,,2024-05-02,D,,MRK
381,,Conversion of Exercise of derivative security at price 128.80 per share.,SMART DALTON E. III,Officer,,2024-05-02,D,49073.0,MRK
12320,,Sale at price 409.52 per share.,HOGAN KATHLEEN T,Officer,,2026-03-06,D,5045643.0,MSFT
5000,,Purchase at price 397.35 per share.,STANTON JOHN W.,Director,,2026-02-18,D,1986750.0,MSFT
145,,Stock Award(Grant) at price 0.00 per share.,LIST TERI,Director,,2026-01-30,D,0.0,MSFT
145,,Stock Award(Grant) at price 0.00 per share.,MASON MARK A.L.,Director,,2026-01-30,D,0.0,MSFT
145,,Stock Award(Grant) at price 0.00 per share.,STANTON JOHN W.,Director,,2026-01-30,D,0.0,MSFT
145,,Stock Award(Grant) at price 0.00 per share.,SCHARF CHARLES W,Director,,2026-01-30,D,0.0,MSFT
150,,Stock Gift at price 0.00 per share.,HOGAN KATHLEEN T,Officer,,2025-12-10,D,0.0,MSFT
2850,,Sale at price 478.72 per share.,NUMOTO TAKESHI,Officer,,2025-12-04,D,1364352.0,MSFT
130,,Stock Award(Grant) at price 0.00 per share.,LIST TERI,Director,,2025-12-04,D,0.0,MSFT
130,,Stock Award(Grant) at price 0.00 per share.,MASON MARK A.L.,Director,,2025-12-04,D,0.0,MSFT
130,,Stock Award(Grant) at price 0.00 per share.,STANTON JOHN W.,Director,,2025-12-04,D,0.0,MSFT
130,,Stock Award(Grant) at price 0.00 per share.,SCHARF CHARLES W,Director,,2025-12-04,D,0.0,MSFT
12750,,Sale at price 491.52 per share.,ALTHOFF JUDSON,Officer,,2025-12-02,D,6266829.0,MSFT
3463,,Stock Gift at price 0.00 per share.,ALTHOFF JUDSON,Officer,,2025-11-20,D,0.0,MSFT
3977,,Stock Gift at price 0.00 per share.,NADELLA SATYA,Chief Executive Officer,,2025-11-10,D,0.0,MSFT
10000,,Stock Gift at price 0.00 per share.,SMITH BRADFORD LEE,President,,2025-11-06,D,0.0,MSFT
38500,,Sale at price 518.49 - 519.21 per share.,SMITH BRADFORD LEE,President,,2025-11-03,D,19967707.0,MSFT
6513,,Stock Award(Grant) at price 0.00 per share.,HOGAN KATHLEEN T,Officer,,2025-09-15,D,0.0,MSFT
26151,,Stock Award(Grant) at price 0.00 per share.,ALTHOFF JUDSON,Officer,,2025-09-15,D,0.0,MSFT
11583,,Stock Award(Grant) at price 0.00 per share.,NUMOTO TAKESHI,Officer,,2025-09-15,D,0.0,MSFT
4022,,Stock Award(Grant) at price 0.00 per share.,COLEMAN AMY,Officer,,2025-09-15,D,0.0,MSFT
4358,,Stock Award(Grant) at price 0.00 per share.,COLEMAN AMY,Officer,,2025-09-15,D,0.0,MSFT
26151,,Stock Award(Grant) at price 0.00 per share.,HOOD AMY E,Chief Financial Officer,,2025-09-15,D,0.0,MSFT
26151,,Stock Award(Grant) at price 0.00 per share.,SMITH BRADFORD LEE,President,,2025-09-15,D,0.0,MSFT
125,,Stock Award(Grant) at price 0.00 per share.,LIST TERI,Director,,2025-09-10,D,0.0,MSFT
125,,Stock Award(Grant) at price 0.00 per share.,MASON MARK A.L.,Director,,2025-09-10,D,0.0,MSFT
125,,Stock Award(Grant) at price 0.00 per share.,STANTON JOHN W.,Director,,2025-09-10,D,0.0,MSFT
125,,Stock Award(Grant) at price 0.00 per share.,SCHARF CHARLES W,Director,,2025-09-10,D,0.0,MSFT
149205,,Sale at price 503.00 - 507.56 per share.,NADELLA SATYA,Chief Executive Officer,,2025-09-03,D,75315121.0,MSFT
20386,,Stock Award(Grant) at price 0.00 per share.,HOGAN KATHLEEN T,Officer,,2025-09-02,D,0.0,MSFT
45220,,Stock Award(Grant) at price 0.00 per share.,ALTHOFF JUDSON,Officer,,2025-09-02,D,0.0,MSFT
17223,,Stock Award(Grant) at price 0.00 per share.,NUMOTO TAKESHI,Officer,,2025-09-02,D,0.0,MSFT
54053,,Stock Award(Grant) at price 0.00 per share.,HOOD AMY E,Chief Financial Officer,,2025-09-02,D,0.0,MSFT
47877,,Stock Award(Grant) at price 0.00 per share.,SMITH BRADFORD LEE,President,,2025-09-02,D,0.0,MSFT
308870,,Stock Award(Grant) at price 0.00 per share.,NADELLA SATYA,Chief Executive Officer,,2025-09-02,D,0.0,MSFT
3813,,Stock Award(Grant) at price 0.00 per share.,JOLLA ALICE L,Officer,,2025-08-29,D,0.0,MSFT
4850,,Sale at price 525.56 - 528.56 per share.,NUMOTO TAKESHI,Officer,,2025-08-12,D,2557506.0,MSFT
20000,,Stock Gift at price 0.00 per share.,SMITH BRADFORD LEE,President,,2025-08-11,D,0.0,MSFT
132,,Stock Award(Grant) at price 0.00 per share.,MASON MARK A.L.,Director,,2025-06-10,D,0.0,MSFT
132,,Stock Award(Grant) at price 0.00 per share.,LIST-STOLL TERI L.,Director,,2025-06-10,D,0.0,MSFT
132,,Stock Award(Grant) at price 0.00 per share.,STANTON JOHN W.,Director,,2025-06-10,D,0.0,MSFT
132,,Stock Award(Grant) at price 0.00 per share.,SCHARF CHARLES W,Director,,2025-06-10,D,0.0,MSFT
3000,,Sale at price 463.00 per share.,NUMOTO TAKESHI,Officer,,2025-06-03,D,1389000.0,MSFT
1000,,Sale at price 460.01 per share.,NUMOTO TAKESHI,Officer,,2025-05-30,D,460008.0,MSFT
21500,,Sale at price 453.77 per share.,HOGAN KATHLEEN T,Officer,,2025-05-21,D,9756152.0,MSFT
16000,,Sale at price 457.97 - 458.46 per share.,ALTHOFF JUDSON,Officer,,2025-05-19,D,7330817.0,MSFT
13242,,Sale at price 452.01 per share.,COLEMAN AMY,Officer,,2025-05-15,D,5985886.0,MSFT
3842,,Sale at price 390.57 - 438.82 per share.,SMITH BRADFORD LEE,President,,2025-05-05,D,1684498.0,MSFT
81000,,Sale at price 433.17 - 436.29 per share.,SMITH BRADFORD LEE,President,,2025-05-05,D,35302945.0,MSFT
3842,,Purchase at price 377.46 per share.,SMITH BRADFORD LEE,President,,2025-04-23,D,1450221.0,MSFT
10370,,Stock Award(Grant) at price 0.00 per share.,COLEMAN AMY,Officer,,2025-04-15,D,0.0,MSFT
151,,Stock Award(Grant) at price 0.00 per share.,MASON MARK A.L.,Director,,2025-01-31,D,0.0,MSFT
151,,Stock Award(Grant) at price 0.00 per share.,LIST-STOLL TERI L.,Director,,2025-01-31,D,0.0,MSFT
151,,Stock Award(Grant) at price 0.00 per share.,STANTON JOHN W.,Director,,2025-01-31,D,0.0,MSFT
151,,Stock Award(Grant) at price 0.00 per share.,SCHARF CHARLES W,Director,,2025-01-31,D,0.0,MSFT
2500,,Sale at price 447.41 per share.,NUMOTO TAKESHI,Officer,,2024-12-09,D,1118530.0,MSFT
132,,Stock Award(Grant) at price 0.00 per share.,LIST TERI,Director,,2024-12-09,D,0.0,MSFT
132,,Stock Award(Grant) at price 0.00 per share.,MASON MARK A.L.,Director,,2024-12-09,D,0.0,MSFT
132,,Stock Award(Grant) at price 0.00 per share.,STANTON JOHN W.,Director,,2024-12-09,D,0.0,MSFT
132,,Stock Award(Grant) at price 0.00 per share.,SCHARF CHARLES W,Director,,2024-12-09,D,0.0,MSFT
